연도,한국은행 기준금리(%),KOSPI 지수(기말),서울 아파트 평균매매가(만원),지방 5대광역시 평균매매가(만원),전국 아파트 매매가격지수(2021.01=100),"소비자물가지수(CPI, 2020=100)","M2 통화량(조원, 기말)",전국 미분양주택(호)
2006,4.5,1434.46,38000,13500,62.5,74.9,1124,73772
2007,5.0,1897.13,44000,14200,69.8,76.8,1248,112816
2008,3.0,1124.47,48000,15000,73.1,80.4,1427,165599
2009,2.0,1682.77,51000,16200,74.2,82.6,1564,123297
2010,2.75,2051.0,52000,18500,75.6,85.0,1660,88706
2011,3.25,1825.74,51000,21000,80.8,88.4,1731,69807
2012,2.75,1997.08,49000,22500,80.9,90.4,1810,74835
2013,2.5,2011.34,48000,23800,81.2,91.6,1912,61091
2014,2.0,1915.59,49500,25200,83.4,92.8,2062,40379
2015,1.5,1961.31,52000,26800,87.1,93.5,2247,61512
2016,1.25,2026.46,56000,27900,88.2,94.4,2385,56413
2017,1.5,2467.49,62500,29200,89.2,96.2,2517,57330
2018,1.75,2041.04,81000,31000,89.3,97.6,2696,58838
2019,1.25,2197.67,89000,32500,89.2,98.0,2908,47797
2020,0.5,2873.47,96000,36000,95.9,100.0,3199,19005
2021,1.0,2977.65,115000,41000,105.4,102.5,3614,14081
2022,3.25,2236.4,124000,39000,100.4,107.7,3802,68148
2023,3.5,2655.28,119000,36500,95.8,111.6,3922,62489
2024,3.0,2405.15,121000,35500,96.5,114.2,4080,68000
2025,2.75,2580.0,126000,36200,98.2,116.8,4220,64500
